plate_name,gene_name,gene_length,aligned_length,alignment_rate,total_read_count,average_read_depth,number_of_SNP,number_of_INDEL
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKR075WA,270,264,0.977777777778,753,2,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR268W,645,641,0.993798449612,38905,60,18,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPR193C,471,462,0.980891719745,24347,52,16,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR041W,612,609,0.995098039216,29869,49,13,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YAL008W,597,598,1.00167504188,80069,133,3855,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL155C,1359,251,0.184694628403,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR296W,5728,1501,0.262046089385,67142,44,15984,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR148C,468,455,0.972222222222,16566,36,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR012WA,1323,903,0.68253968254,7028,7,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL059C,1326,251,0.189291101056,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL092W,3954,251,0.0634800202327,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR114C,303,52,0.171617161716,4545,87,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL224C,372,320,0.860215053763,4016,12,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR083W,888,886,0.997747747748,89105,100,195,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL191C,1083,251,0.231763619575,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL113W,429,369,0.86013986014,4267,11,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR165C,2589,251,0.0969486288142,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL152W,1230,1206,0.980487804878,28614,23,19,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBL027W,954,241,0.252620545073,241,1,9,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL133C,1392,144,0.103448275862,144,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR028W,1323,660,0.498866213152,1506,2,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR044C,423,389,0.919621749409,14056,36,5,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR215C,558,534,0.956989247312,17821,33,14,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR011C,786,783,0.996183206107,37148,47,21,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR259C,1152,1157,1.00434027778,127820,110,23613,5
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL228W,1734,502,0.289504036909,502,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR465C,309,178,0.576051779935,22727,127,901,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL054WB,5250,251,0.0478095238095,251,1,17,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL054WA,1323,894,0.675736961451,10397,11,496,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIR013C,366,363,0.991803278689,8785,24,5,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR304C,678,673,0.992625368732,44427,66,108,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL024W,519,508,0.97880539499,13554,26,15,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR002W,471,89,0.188959660297,89,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR260C,513,513,1.0,91994,179,4309,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR047W,528,521,0.986742424242,15060,28,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR261C,327,323,0.987767584098,46037,142,1956,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL212W,951,251,0.263932702419,251,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR236C,657,655,0.99695585997,28112,42,36,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR110W,1308,500,0.382262996942,500,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR195W,384,385,1.00260416667,53577,139,2476,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR178W,546,528,0.967032967033,11797,22,6,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL012C,405,402,0.992592592593,10040,24,8,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL114C,372,288,0.774193548387,25419,88,371,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR090C,933,843,0.903536977492,7530,8,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL262W,1467,251,0.171097477846,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR220W,969,971,1.00206398349,198833,204,30720,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPR202W,717,349,0.486750348675,3135,8,48,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL225C,5277,457,0.086602236119,7279,15,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBL008W,2523,251,0.0994847403884,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL062C,465,466,1.00215053763,67768,145,2682,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR292C,930,251,0.269892473118,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR016C,285,274,0.961403508772,1506,5,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR015W,1980,251,0.126767676768,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL021W,957,409,0.427377220481,486,1,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR299W,1605,251,0.156386292835,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR201W,498,487,0.977911646586,28112,57,29,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL071W,2073,502,0.242161119151,502,1,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR088C,1149,1144,0.995648389904,63503,55,124,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR196C,726,727,1.00137741047,131175,180,9663,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL255C,462,466,1.00865800866,74488,159,3473,4
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNR032W,1107,1108,1.00090334237,87933,79,7165,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL028C,738,731,0.990514905149,21837,29,21,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPR151C,621,605,0.97423510467,21837,36,48,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR052C,453,453,1.0,52415,115,2262,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR279C,1161,251,0.216192937123,251,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKR067W,2232,251,0.112455197133,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR253W,1710,251,0.146783625731,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL130C,741,736,0.993252361673,97890,133,288,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKR077W,1092,1088,0.996336996337,102910,94,213,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR116W,4356,250,0.0573921028466,250,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR184W,597,593,0.993299832496,22088,37,14,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YCL057W,2139,251,0.11734455353,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR461W,363,43,0.118457300275,117,2,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR085W,1053,1055,1.00189933523,169437,160,24335,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR005W,642,251,0.390965732087,251,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR083C,930,925,0.994623655914,47941,51,48,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL135C,345,344,0.997101449275,10291,29,13,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR101W,801,792,0.988764044944,57479,72,85,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR035C,687,686,0.998544395924,35391,51,21,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR230W,348,278,0.798850574713,1255,4,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR185C,837,837,1.0,130422,155,13053,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR240C,1353,251,0.185513673319,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR290W,330,140,0.424242424242,20476,146,29,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR326C,4317,251,0.0581422283994,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR150C,3285,59,0.0179604261796,236,4,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR033C,2109,248,0.117591275486,248,1,12,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR224C,396,393,0.992424242424,10542,26,9,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR019C,2100,251,0.119523809524,251,1,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR027W,5268,383,0.0727031131359,753,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR047C,474,474,1.0,107093,225,5476,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR053C,1077,1054,0.978644382544,49447,46,127,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR035W,1113,1113,1.0,96886,87,196,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YAL016W,1908,197,0.103249475891,197,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR485C,2433,354,0.145499383477,461,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YER160C,5268,619,0.117501898254,1004,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL008W,624,621,0.995192307692,26857,43,14,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR229C,576,571,0.991319444444,37399,65,27,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR045C,333,320,0.960960960961,7279,22,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR089W,600,588,0.98,74963,127,3193,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR010CA,285,285,1.0,23334,81,447,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL195W,2799,251,0.0896748838871,251,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL205W,2247,251,0.111704494882,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR029W,5268,616,0.116932422172,753,1,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL217W,981,982,1.00101936799,117118,119,15442,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL007C,1059,221,0.208687440982,220,0,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL077W,1587,417,0.262759924386,417,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR163W,528,522,0.988636363636,17570,33,5,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR531W,1104,251,0.227355072464,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YAR010C,1323,627,0.473922902494,1506,2,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL010C,2001,502,0.250874562719,502,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR233W,681,654,0.960352422907,26355,40,13,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR074C,438,172,0.392694063927,170,0,0,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL214C,1623,502,0.309303758472,502,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL165C,579,409,0.706390328152,67148,164,7387,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL064C,1074,152,0.141527001862,152,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YEL032W,2916,149,0.05109739369,149,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR022C,591,585,0.989847715736,31626,54,19,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR209C,936,936,1.0,49698,53,54,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL325C,2640,251,0.0950757575758,251,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL122C,1578,909,0.576045627376,1252,1,9,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR203C,1055,265,0.251184834123,501,1,5,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR279W,390,208,0.533333333333,32409,155,1916,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR215C,1083,1077,0.994459833795,108181,100,245,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR265C,1029,1031,1.0019436346,168889,163,17330,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL044C,1377,249,0.18082788671,249,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL082WA,4497,837,0.186124082722,23092,27,32,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR142WB,5268,1104,0.209567198178,20663,18,1024,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL082W,873,869,0.995418098511,27861,32,29,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR050C,486,486,1.0,180448,371,10383,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL014W,375,349,0.930666666667,14307,40,4,0
