Plate,Gene_name,gene_length,aligned_length,avg_read_depth,snp_count,indel_count
scORFeome-HIP-01_S145_L001_R1_001_sorted,YKR075WA,270,264,2,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR268W,645,641,37,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPR193C,471,462,37,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR041W,612,603,33,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YAL008W,597,597,64,38,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJL155C,1359,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR296W,5728,1479,19,104,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR148C,468,455,24,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR012WA,1323,788,3,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YKL059C,1326,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGL092W,3954,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR114C,303,52,45,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YKL224C,372,310,8,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR083W,888,886,79,19,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL191C,1083,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL113W,429,369,10,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR165C,2589,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL152W,1230,1206,16,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR382C,2685,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YKL133C,1392,144,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR028W,1323,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR044C,423,355,29,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR215C,558,468,26,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR011C,786,779,31,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR259C,1152,1156,56,97,4
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGL228W,1734,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR465C,309,178,68,13,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL054WB,5250,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL054WA,1323,563,4,7,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIR013C,366,363,17,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR304C,678,664,45,10,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL024W,519,494,19,7,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR002W,471,89,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR260C,513,513,93,46,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR047W,528,511,22,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR261C,327,322,61,26,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGL212W,951,251,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR236C,657,625,28,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR110W,1308,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR195W,384,384,69,34,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR178W,546,528,15,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL012C,405,370,21,5,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL114C,372,286,44,17,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR090C,933,816,7,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL262W,1467,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR220W,969,970,103,94,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPR202W,717,184,7,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJL225C,5277,493,12,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBL008W,2523,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL062C,465,465,74,33,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR292C,930,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR016C,285,252,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHR015W,1980,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL021W,957,236,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR299W,1605,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR201W,498,487,43,7,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGL071W,2073,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR088C,1149,1144,38,10,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR196C,726,727,91,41,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL255C,462,465,81,37,3
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNR032W,1107,1108,41,39,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL028C,738,731,21,5,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPR151C,621,605,27,12,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR052C,453,453,59,31,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR279C,1161,251,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR253W,1710,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YKL130C,741,736,91,19,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YKR077W,1092,1088,67,17,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR116W,4356,250,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR184W,597,593,29,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YCL057W,2139,251,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR461W,363,42,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR085W,1053,1054,81,90,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR083C,930,925,38,8,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL135C,345,343,18,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR101W,801,783,46,8,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR035C,687,686,33,5,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR230W,348,278,5,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR185C,837,837,79,78,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR290W,330,140,61,7,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR326C,4317,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR150C,3285,59,1,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR033C,2109,248,1,5,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR224C,396,358,19,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR019C,2100,251,1,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR027W,5268,546,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR047C,474,474,121,49,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR053C,1077,1054,29,7,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR035W,1113,1113,60,15,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YAL016W,1908,197,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR485C,2433,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YER160C,5268,390,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL008W,624,619,30,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR045C,333,320,17,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR089W,600,584,59,42,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR010CA,285,285,39,9,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL195W,2799,251,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGL205W,2247,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR029W,5268,442,2,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL217W,981,981,60,75,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL007C,1059,221,0,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL077W,1587,251,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR163W,528,522,27,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR531W,1104,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YAR010C,1323,467,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJL010C,2001,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR233W,681,647,26,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPL214C,1623,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGL165C,579,409,71,41,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL064C,1074,152,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YEL032W,2916,149,1,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR022C,591,585,39,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR209C,936,934,36,11,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL325C,2640,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGL122C,1578,658,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHR203C,1055,251,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR279W,390,208,75,30,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR215C,1083,1065,66,21,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR265C,1029,1029,81,85,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJL044C,1377,249,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL082WA,4497,827,16,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR142WB,5268,1001,6,7,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL082W,873,866,21,2,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR050C,486,488,194,83,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOL014W,375,347,26,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YML064C,738,736,38,7,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR229C,576,567,46,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YFR001W,615,598,28,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YPR158WB,5271,865,6,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR077W,1017,1020,159,195,3
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR161CD,5268,716,3,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGL233W,2733,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YMR146C,1044,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR161CC,1323,1323,31,40,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR296W,3870,347,1,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL070C,801,801,105,65,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR057W,1629,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR289C,1230,1225,37,15,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR227WB,5268,590,4,3,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YLR227WA,1323,485,2,6,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YHR029C,885,887,96,98,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL031W,3105,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNR071C,1029,1031,89,91,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,smorf221545,45,45,53,1,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR090C,3456,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNR036C,462,464,43,28,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR182W,1476,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YCR019W,1092,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YML026C,842,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR038CB,5268,899,4,10,1
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR038CA,1323,661,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YJR127C,4143,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR041C,432,302,9,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YML045WA,1323,880,2,4,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YIL143C,2532,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YFR030W,3108,169,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR022W,534,536,74,28,2
scORFeome-HIP-01_S145_L001_R1_001_sorted,YBR131W,2115,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YDR328C,585,585,90,46,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YKR088C,1014,983,39,9,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YNL199C,1605,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YGR173W,1107,251,1,N/A,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YOR196C,1245,1224,41,23,N/A
scORFeome-HIP-01_S145_L001_R1_001_sorted,YML048W,1212,150,0,N/A,1
