plate_name,gene_name,gene_length,aligned_length,alignment_rate,average_read_depth,number_of_SNP,number_of_INDEL
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKR075WA,270,264,0.977777778,2,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR268W,645,641,0.99379845,60,8,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPR193C,471,462,0.98089172,52,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR041W,612,609,0.995098039,49,6,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YAL008W,597,598,1.001675042,133,113,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL155C,1359,251,0.184694628,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR296W,5728,1501,0.262046089,44,264,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR148C,468,455,0.972222222,36,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR012WA,1323,903,0.682539683,7,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL059C,1326,251,0.189291101,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL092W,3954,251,0.06348002,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR114C,303,52,0.171617162,87,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL224C,372,320,0.860215054,12,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR083W,888,886,0.997747748,100,24,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL191C,1083,251,0.23176362,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL113W,429,369,0.86013986,11,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR165C,2589,251,0.096948629,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL152W,1230,1206,0.980487805,23,9,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBL027W,954,241,0.252620545,1,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL133C,1392,144,0.103448276,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR028W,1323,660,0.498866213,2,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR044C,423,389,0.919621749,36,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR215C,558,534,0.956989247,33,6,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR011C,786,783,0.996183206,47,6,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR259C,1152,1157,1.004340278,110,291,5
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL228W,1734,502,0.289504037,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR465C,309,178,0.57605178,127,51,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL054WB,5250,251,0.047809524,1,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL054WA,1323,894,0.675736961,11,34,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIR013C,366,363,0.991803279,24,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR304C,678,673,0.992625369,66,17,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL024W,519,508,0.978805395,26,8,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR002W,471,89,0.18895966,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR260C,513,513,1,179,123,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR047W,528,521,0.986742424,28,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR261C,327,323,0.987767584,142,88,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL212W,951,251,0.263932702,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR236C,657,655,0.99695586,42,10,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR110W,1308,500,0.382262997,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR195W,384,385,1.002604167,139,97,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR178W,546,528,0.967032967,22,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL012C,405,402,0.992592593,24,5,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL114C,372,288,0.774193548,88,33,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR090C,933,843,0.903536977,8,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPL262W,1467,251,0.171097478,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR220W,969,971,1.002063983,204,362,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPR202W,717,349,0.486750349,8,10,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJL225C,5277,457,0.086602236,15,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBL008W,2523,251,0.09948474,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL062C,465,466,1.002150538,145,100,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR292C,930,251,0.269892473,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR016C,285,274,0.961403509,5,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YHR015W,1980,251,0.126767677,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YIL021W,957,409,0.42737722,1,3,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR299W,1605,251,0.156386293,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR201W,498,487,0.977911647,57,9,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGL071W,2073,502,0.242161119,1,4,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR088C,1149,1144,0.99564839,55,22,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR196C,726,727,1.00137741,180,194,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL255C,462,466,1.008658009,159,116,4
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNR032W,1107,1108,1.000903342,79,163,1
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOL028C,738,731,0.990514905,29,7,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YPR151C,621,605,0.974235105,36,12,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR052C,453,453,1,115,84,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR279C,1161,251,0.216192937,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKR067W,2232,251,0.112455197,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR253W,1710,251,0.146783626,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKL130C,741,736,0.993252362,133,30,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YKR077W,1092,1088,0.996336996,94,24,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YGR116W,4356,250,0.057392103,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YMR184W,597,593,0.993299832,37,9,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YCL057W,2139,251,0.117344554,1,1,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YLR461W,363,43,0.1184573,2,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR085W,1053,1055,1.001899335,160,327,2
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR005W,642,251,0.390965732,1,2,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR083C,930,925,0.994623656,51,10,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YNL135C,345,344,0.997101449,29,5,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YJR101W,801,792,0.988764045,72,13,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR035C,687,686,0.998544396,51,8,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR230W,348,278,0.798850575,4,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR185C,837,837,1,155,226,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR240C,1353,251,0.185513673,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR290W,330,140,0.424242424,146,11,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR326C,4317,251,0.058142228,1,0,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YBR150C,3285,59,0.017960426,4,5,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YOR033C,2109,248,0.117591275,1,5,0
scORFeome-HIP-01_S145_L001_sorted.raw.vcf,YDR224C,396,393,0.992424242,26,4,0
